name,address,cost_per_two,timings,category,cusine,detailed_address,featured_in,discount
Bean There,Airport Gandhinagar Highway,₹350,11am – 11pm (Mon-Sun),Quick Bites,"Fast Food,Beverages"," City Pulse Campus, Near Koba Circle, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
The Punjabi Food Junction,Airport Gandhinagar Highway,₹300,"8am – 12midnight (Mon),8am – 11:57pm...",Quick Bites,North Indian," 9, Radhe Square, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Khichdi Etc,Airport Gandhinagar Highway,₹700,"11am – 3pm, 7pm – 11pm (Mon-Sun)",Casual Dining,"North Indian,Gujarati"," B 102, Pramukh Arcade 2, Near Reliance Cross Road, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Yubby's,Airport Gandhinagar Highway,₹100,9am – 11pm (Mon-Sun),Casual Dining,"Chinese,Sandwich"," Shop 32, Krishnakunj Complex, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Tuli's Royal Bengal,Airport Gandhinagar Highway,₹250,11am – 11pm (Mon-Sun),Quick Bites,"Bengali,North Indian,Chinese"," 37, Near Reliance Cross Road, Opposite Rajdhani Society, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Gajanand Pauva House,Airport Gandhinagar Highway,₹300,6am – 11pm (Mon-Sun),Quick Bites,"Street Food,Fast Food,Beverages"," Radhe Squre Complex, Reliance Cross Road, Opposite Pramukh Arcade, Airport Gandhinagar Highway, Gandhinagar",,NULL
Fruit Zone And Wafflespot,Airport Gandhinagar Highway,₹250,1pm – 12:30am (Mon-Sun),Dessert Parlor,"Desserts,Juices"," A-20, Pramukh Arcade-2, Near Reliance Chokdi, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Chasko Fast Food,"Chopati, Sector 16",₹400,"11:30am – 2:30pm, 7pm – 11pm (Mon-Sun)",Food Court,"North Indian,South Indian,Chinese"," GH -5, Chopati, Sector 16, Gandhinagar",,NULL
Hotel Ghunghat Garden Restaurant,"Sector 25, Gandhinagar",₹700,7am – 11pm (Mon-Sun),Casual Dining,North Indian," Sector -26, ""K"" Road, Near GIDC, Gandhinagar -Mansa Road, Sector 25, Gandhinagar",,NULL
Fun And Feast Restaurant,Airport Gandhinagar Highway,₹750,11am – 11pm (Mon-Sun),Casual Dining,"North Indian,Mughlai,Continental"," Fun and Feast Theme Park, Kudasan Road, Urjanagar, Airport Gandhinagar Highway, Gandhinagar",,NULL
Theka,Airport Gandhinagar Highway,₹250,11am – 2am (Mon-Sun),Café,Beverages," Shop 19, Pramukh Arcade, Reliance Cross Roads, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
Foodish Daily Chaska,Airport Gandhinagar Highway,₹450,"12midnight – 2am, 3pm – 12midnight (Mon-Sun)",Quick Bites,"Pizza,Sandwich,Fast Food,Street Food,Beverages"," A 2, Shukan Silver, Kudasan, Airport Gandhinagar Highway, Gandhinagar",,NULL
M K Sandwich,"Sector 21, Gandhinagar",₹400,11am – 11pm (Mon-Sun),NULL,"Fast Food,Beverages", Delivery Only,,NULL
Eggetarian,Airport Gandhinagar Highway,₹400,8am – 11pm (Mon-Sun),Quick Bites,"Fast Food,North Indian"," Shop 5, Pramukh Corporate, PDPU Road, Raysan, Airport Gandhinagar Highway, Gandhinagar",,10% off on all orders above ₹99
Kathiyavadi,Airport Gandhinagar Highway,₹300,"10:30am – 3pm, 7pm – 11pm (Mon-Sun)",Quick Bites,"Gujarati,North Indian"," Shop No. 5,6, Shree Rang Hights, Bhaijipura Patiya, P.D.P.U Road, Kudasan, Gandhinagar, Ahmedabad.",,NULL
Frankie Station,Infocity,₹250,11am – 11pm (Mon-Sun),NULL,"Fast Food,Burger,Chinese"," Shop 29, Super Mall 1, Infocity, Gandhinagar",,NULL
Vipul Dudhiya Sweets,Airport Gandhinagar Highway,₹300,8:30am – 10pm (Mon-Sun),Sweet Shop,"Mithai,Street Food,Gujarati"," B 6-7, Radhe Arcade, Near Sbi Bank, Airport Gandhinagar Highway, Gandhinagar",,NULL
